city,pop_2018_est,place,city_y,area_land,place_type,pop_density,mh_spaces
Aliso Viejo,50925,00947,Aliso Viejo,6.92,Aliso Viejo city,7359.1,
Yountville,2982,86930,Yountville,1.49,Yountville city,2001.34,317.0
Goleta,30790,30378,Goleta,7.85,Goleta city,3922.29,650.0
Eastvale,61337,21230,Eastvale,12.66,Eastvale city,4844.94,716.0
Fairbanks Ranch,2901,23150,Fairbanks Ranch,5.09,Fairbanks Ranch CDP,569.94,
Imperial Beach,27290,36294,Imperial Beach,4.3,Imperial Beach city,6346.51,81.0
Poway,49842,58520,Poway,39.08,Poway city,1275.38,696.0
Valley Center,9059,81736,Valley Center,27.46,Valley Center CDP,329.9,387.0
Concow,743,16035,Concow,27.41,Concow CDP,27.11,
Greenfield,17276,30994,Greenfield,2.14,Greenfield city,8072.9,84.0
Pacific Grove,15567,54848,Pacific Grove,2.86,Pacific Grove city,5443.01,103.0
San Ardo,554,64476,San Ardo,0.45,San Ardo CDP,1231.11,14.0
Seaside,34077,70742,Seaside,9.24,Seaside city,3687.99,488.0
Suisun City,29379,75630,Suisun City,4.11,Suisun City city,7148.18,54.0
Rancho Calaveras,7035,59426,Rancho Calaveras,8.38,Rancho Calaveras CDP,839.5,
Apple Valley,72359,02364,Apple Valley,74.92,Apple Valley town,965.82,1427.0
Barstow,23812,04030,Barstow,41.28,Barstow city,576.84,1296.0
Big River,1145,06635,Big River,10.83,Big River CDP,105.72,
Winchester,2931,85894,Winchester,8.01,Winchester CDP,365.92,
Heber,4686,33084,Heber,1.48,Heber CDP,3166.22,54.0
Salton City,5611,64294,Salton City,21.44,Salton City CDP,261.71,185.0
